SoJo source,Homepage URL,Present in Media Cloud (yes/no),Has health stories (yes/no),Has climate stories(yes/no),Notes/Questions
Christian Science Monitor,https://www.csmonitor.com/,yes,yes,yes,very good source with a lot of stories on both health and climate
YES! Magazine,https://www.yesmagazine.org/,yes,yes,yes,
Positive News,https://www.positive.news/,yes,yes,yes,Present in media cloud but not collecting stories
Ensia,https://ensia.com/,yes,yes,yes,Present in media cloud but not collecting stories. Has more climate stories
La Voz de Guanacaste,https://vozdeguanacaste.com/,yes,yes,no,
Next City,https://nextcity.org,yes,yes,yes,
Resolve Philly: “Re-entry Project”,https://thereentryproject.org/,yes,no,no,Present in media cloud but not collecting stories
Resolve Philly: “Broke in Philly”,https://brokeinphilly.org/,yes,no,no,Present in media cloud but not collecting stories 
Granite State News Collaborative: “Solutions”,https://www.collaborativenh.org/projects,yes,yes,no,"Present in media cloud but not collecting stories , Focus on mental health"
The Marshall Project,https://www.themarshallproject.org/,yes,yes,no,"Climate is mentioned in some stories, but the focus is not climate"
Vox: “Future Perfect”,https://www.vox.com/future-perfect,yes?,yes,yes,"my_query = 'url:""vox.com/future-perfect/*""' gave me no stories, but vox.com is definitely present on media cloud. Maybe I need to write the query differently?"
Shareable,https://www.shareable.net/,yes,no,yes,Present in media cloud but not collecting stories
The Guardian: “The Upside”,https://www.theguardian.com/world/series/the-upside,yes?,yes,yes,"my_query = 'url:""https://www.theguardian.com/world/series/the-upside*""' did not help but theguardian.com is available"
Things That Work Uganda,,,,,Defunct - couldn't find working website
High Country News: “What Works”,https://www.hcn.org/topic/what-works/,yes?,yes,yes,"Only one climate story. my_query = 'url:""https://www.hcn.org/topic/what-works/*""' didn't help but hcn.org is available. "
Reasons to Be Cheerful,https://reasonstobecheerful.world/,yes ,yes,yes,Present in media cloud but not collecting stories
Mongabay: “Environment and Her”,https://india.mongabay.com/series/environment-and-her-women-and-environment/,yes,no,yes,"Environment and her is from Mongabay india, but MC only has Mongabay listed."
GRIST: “The Fix”,https://grist.org/solutions/,yes,yes,yes,"Primary focus is on climate, but has a section for health too."
INKLINE,http://the-inkline.com/,no,yes,yes,Present in media cloud but not collecting stories. Also only 6 sojo stories
Making Contact,https://focmedia.org/,no,yes,yes,This is a radio show and podcast
Médiacités,https://www.mediacites.fr/,yes,yes,yes,"French, not many healthcare stories"
The Trace “How We Fix This”,https://www.thetrace.org/projects/how-we-fix-this-gun-violence-solutions/,yes,no,no,focus is one gun violance + stories per week unknown on MC
"Imagine, demain le monde",https://kiosque.imagine-magazine.com/,no,no,yes,"french. not alot of stories overall, but split between environment and war."
Nice-Matin,https://www.nicematin.com/,no,yes,no,not sojo
Washington Post “Climate Solutions”,https://www.washingtonpost.com/climate-solutions/,no?(only the technology section),no,yes,seems like a really good for sojo examples
Transitions Online,https://tol.org,yes,yes,yes,Very few stories
Minority Africa,https://minorityafrica.org,no,yes,yes,"Some of them are not sojo, the solutions are not very concrete and they read like opinion pieces"
Nigeria Health Watch,https://nigeriahealthwatch.com,yes,yes,no,"Present in Media Cloud, but not collecting stories "
HotHouse Solutions,https://hothouse.substack.com ,no,no,yes,
News48,https://news48.it,no,yes,yes,Italian with an English section
What’s Next Magazine,,,,,Defunct - couldn't find working website
Lithuania Radio and Television (LRT),http://www.lrt.lt,yes,yes,yes,"There are very few stories about climate and health mixed in with general news. Main page is in Lithuanian, but they do have an English subsection on their website."
America First?,https://www.youtube.com/@americafirstshow1878,,,,Youtube channel with 35 subscribers
El Colectivo 506,https://elcolectivo506.com,no,yes,yes,"Spanish, based out of Costa Rica"
